TBLID,GEOID,GEONAME,PROFTBL,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02,04000US01,Alabama,1,29,Divorced,"220,423","+/-7,349",11.6,+/-0.4
DP02,04000US01,Alabama,,29.3,,,,,
DP02,04000US01,Alabama,1,30,Females 15 years and over,"2,084,302","+/-4,041","2,084,302",(X)
DP02,04000US01,Alabama,1,31,Never married,"584,844","+/-12,054",28.1,+/-0.6
DP02,04000US01,Alabama,1,32,"Now married, except separated","952,504","+/-13,839",45.7,+/-0.7
DP02,04000US01,Alabama,1,33,Separated,"56,685","+/-4,556",2.7,+/-0.2
DP02,04000US01,Alabama,1,34,Widowed,"215,391","+/-6,860",10.3,+/-0.3
DP02,04000US01,Alabama,1,35,Divorced,"274,878","+/-7,271",13.2,+/-0.4
DP02,04000US01,Alabama,,35.3,,,,,
DP02,04000US01,Alabama,,35.5,FERTILITY,,,,
DP02,04000US01,Alabama,1,36,Number of women 15 to 50 years old who had a birth in the past 12 months,"66,070","+/-4,793","66,070",(X)
DP02,04000US01,Alabama,1,37,"Unmarried women (widowed, divorced, and never married)","25,420","+/-2,575",38.5,+/-3.5
DP02,04000US01,Alabama,1,38,"Per 1,000 unmarried women",40,+/-4,(X),(X)
DP02,04000US01,Alabama,1,39,"Per 1,000 women 15 to 50 years old",58,+/-4,(X),(X)
DP02,04000US01,Alabama,1,40,"Per 1,000 women 15 to 19 years old",16,+/-5,(X),(X)
DP02,04000US01,Alabama,1,41,"Per 1,000 women 20 to 34 years old",109,+/-9,(X),(X)
DP02,04000US01,Alabama,1,42,"Per 1,000 women 35 to 50 years old",22,+/-4,(X),(X)
DP02,04000US01,Alabama,,42.3,,,,,
DP02,04000US01,Alabama,,42.5,GRANDPARENTS,,,,
DP02,04000US01,Alabama,1,43,Number of grandparents living with own grandchildren under 18 years,"121,462","+/-7,220","121,462",(X)
DP02,04000US01,Alabama,1,44,Grandparents responsible for grandchildren,"60,948","+/-5,538",50.2,+/-3.0
DP02,04000US01,Alabama,,44.9,Years responsible for grandchildren,,,,
DP02,04000US01,Alabama,1,45,Less than 1 year,"9,166","+/-2,358",7.5,+/-1.9
DP02,04000US01,Alabama,1,46,1 or 2 years,"9,958","+/-2,121",8.2,+/-1.7
DP02,04000US01,Alabama,1,47,3 or 4 years,"6,334","+/-1,240",5.2,+/-0.9
DP02,04000US01,Alabama,1,48,5 or more years,"35,490","+/-4,039",29.2,+/-2.6
DP02,04000US01,Alabama,,48.3,,,,,
DP02,04000US01,Alabama,1,49,Number of grandparents responsible for own grandchildren under 18 years,"60,948","+/-5,538","60,948",(X)
DP02,04000US01,Alabama,1,50,Who are female,"40,219","+/-3,664",66.0,+/-2.4
DP02,04000US01,Alabama,1,51,Who are married,"40,994","+/-5,099",67.3,+/-4.2
DP02,04000US01,Alabama,,51.3,,,,,
DP02,04000US01,Alabama,,51.5,SCHOOL ENROLLMENT,,,,
DP02,04000US01,Alabama,1,52,Population 3 years and over enrolled in school,"1,174,781","+/-11,208","1,174,781",(X)
DP02,04000US01,Alabama,1,53,"Nursery school, preschool","63,471","+/-4,420",5.4,+/-0.4
DP02,04000US01,Alabama,1,54,Kindergarten,"60,758","+/-4,463",5.2,+/-0.4
DP02,04000US01,Alabama,1,55,Elementary school (grades 1-8),"492,676","+/-6,263",41.9,+/-0.6
DP02,04000US01,Alabama,1,56,High school (grades 9-12),"256,273","+/-6,323",21.8,+/-0.5
DP02,04000US01,Alabama,1,57,College or graduate school,"301,603","+/-8,929",25.7,+/-0.6
DP02,04000US01,Alabama,,57.3,,,,,
DP02,04000US01,Alabama,,57.5,EDUCATIONAL ATTAINMENT,,,,
DP02,04000US01,Alabama,1,58,Population 25 years and over,"3,337,464","+/-5,727","3,337,464",(X)
DP02,04000US01,Alabama,1,59,Less than 9th grade,"131,592","+/-8,212",3.9,+/-0.2
DP02,04000US01,Alabama,1,60,"9th to 12th grade, no diploma","316,587","+/-10,760",9.5,+/-0.3
DP02,04000US01,Alabama,1,61,High school graduate (includes equivalency),"1,026,976","+/-16,396",30.8,+/-0.5
DP02,04000US01,Alabama,1,62,"Some college, no degree","721,987","+/-14,506",21.6,+/-0.4
DP02,04000US01,Alabama,1,63,Associate's degree,"288,285","+/-9,242",8.6,+/-0.3
DP02,04000US01,Alabama,1,64,Bachelor's degree,"536,086","+/-12,549",16.1,+/-0.4
DP02,04000US01,Alabama,1,65,Graduate or professional degree,"315,951","+/-9,459",9.5,+/-0.3
DP02,04000US01,Alabama,,65.3,,,,,
DP02,04000US01,Alabama,1,66,High school graduate or higher,"2,889,285","+/-15,072",86.6,+/-0.4
DP02,04000US01,Alabama,1,67,Bachelor's degree or higher,"852,037","+/-14,669",25.5,+/-0.4
DP02,04000US01,Alabama,,67.3,,,,,
DP02,04000US01,Alabama,,67.5,VETERAN STATUS,,,,
DP02,04000US01,Alabama,1,68,Civilian population 18 years and over,"3,786,286","+/-3,486","3,786,286",(X)
DP02,04000US01,Alabama,1,69,Civilian veterans,"324,612","+/-9,851",8.6,+/-0.3
DP02,04000US01,Alabama,,69.3,,,,,
DP02,04000US01,Alabama,,69.5,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,
DP02,04000US01,Alabama,1,70,Total Civilian Noninstitutionalized Population,"4,810,094","+/-1,546","4,810,094",(X)
DP02,04000US01,Alabama,1,71,With a disability,"785,900","+/-16,559",16.3,+/-0.3
DP02,04000US01,Alabama,,71.3,,,,,
DP02,04000US01,Alabama,1,72,Under 18 years,"1,087,358","+/-3,101","1,087,358",(X)
DP02,04000US01,Alabama,1,73,With a disability,"51,519","+/-4,334",4.7,+/-0.4
DP02,04000US01,Alabama,,73.3,,,,,
DP02,04000US01,Alabama,1,74,18 to 64 years,"2,910,682","+/-4,829","2,910,682",(X)
DP02,04000US01,Alabama,1,75,With a disability,"417,381","+/-11,992",14.3,+/-0.4
DP02,04000US01,Alabama,,75.3,,,,,
DP02,04000US01,Alabama,1,76,65 years and over,"812,054","+/-3,700","812,054",(X)
DP02,04000US01,Alabama,1,77,With a disability,"317,000","+/-7,053",39.0,+/-0.9
DP02,04000US01,Alabama,,77.3,,,,,
DP02,04000US01,Alabama,,77.5,RESIDENCE 1 YEAR AGO,,,,
DP02,04000US01,Alabama,1,78,Population 1 year and over,"4,832,358","+/-3,328","4,832,358",(X)
DP02,04000US01,Alabama,1,79,Same house,"4,173,026","+/-19,530",86.4,+/-0.4
DP02,04000US01,Alabama,1,80,Different house in the U.S.,"644,215","+/-19,520",13.3,+/-0.4
DP02,04000US01,Alabama,1,81,Same county,"381,301","+/-16,678",7.9,+/-0.3
DP02,04000US01,Alabama,1,82,Different county,"262,914","+/-14,432",5.4,+/-0.3
DP02,04000US01,Alabama,1,83,Same state,"153,613","+/-10,575",3.2,+/-0.2
DP02,04000US01,Alabama,1,84,Different state,"109,301","+/-9,827",2.3,+/-0.2
DP02,04000US01,Alabama,1,85,Abroad,"15,117","+/-3,039",0.3,+/-0.1
DP02,04000US01,Alabama,,85.3,,,,,
DP02,04000US01,Alabama,,85.5,PLACE OF BIRTH,,,,
DP02,04000US01,Alabama,1,86,Total population,"4,887,871",*****,"4,887,871",(X)
DP02,04000US01,Alabama,1,87,Native,"4,725,304","+/-6,299",96.7,+/-0.1
DP02,04000US01,Alabama,1,88,Born in United States,"4,679,402","+/-8,009",95.7,+/-0.2
DP02,04000US01,Alabama,1,89,State of residence,"3,389,252","+/-21,586",69.3,+/-0.4
DP02,04000US01,Alabama,1,90,Different state,"1,290,150","+/-21,137",26.4,+/-0.4
DP02,04000US01,Alabama,1,91,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","45,902","+/-4,343",0.9,+/-0.1
DP02,04000US01,Alabama,1,92,Foreign born,"162,567","+/-6,299",3.3,+/-0.1
DP02,04000US01,Alabama,,92.3,,,,,
DP02,04000US01,Alabama,,92.5,U.S. CITIZENSHIP STATUS,,,,
DP02,04000US01,Alabama,1,93,Foreign-born population,"162,567","+/-6,299","162,567",(X)
DP02,04000US01,Alabama,1,94,Naturalized U.S. citizen,"67,130","+/-4,436",41.3,+/-2.6
DP02,04000US01,Alabama,1,95,Not a U.S. citizen,"95,437","+/-6,191",58.7,+/-2.6
DP02,04000US01,Alabama,,95.3,,,,,
DP02,04000US01,Alabama,,95.5,YEAR OF ENTRY,,,,
DP02,04000US01,Alabama,1,96,Population born outside the United States,"208,469","+/-8,009","208,469",(X)
DP02,04000US01,Alabama,,96.3,,,,,
DP02,04000US01,Alabama,1,97,Native,"45,902","+/-4,343","45,902",(X)
DP02,04000US01,Alabama,1,98,Entered 2010 or later,"8,294","+/-2,108",18.1,+/-4.1
DP02,04000US01,Alabama,1,99,Entered before 2010,"37,608","+/-3,934",81.9,+/-4.1
DP02,04000US01,Alabama,,99.3,,,,,
DP02,04000US01,Alabama,1,100,Foreign born,"162,567","+/-6,299","162,567",(X)
DP02,04000US01,Alabama,1,101,Entered 2010 or later,"46,243","+/-5,548",28.4,+/-2.9
DP02,04000US01,Alabama,1,102,Entered before 2010,"116,324","+/-5,381",71.6,+/-2.9
DP02,04000US01,Alabama,,102.3,,,,,
DP02,04000US01,Alabama,,102.5,WORLD REGION OF BIRTH OF FOREIGN BORN,,,,
DP02,04000US01,Alabama,1,103,"Foreign-born population, excluding population born at sea","162,567","+/-6,299","162,567",(X)
DP02,04000US01,Alabama,1,104,Europe,"20,756","+/-2,756",12.8,+/-1.6
DP02,04000US01,Alabama,1,105,Asia,"52,581","+/-3,235",32.3,+/-1.5
DP02,04000US01,Alabama,1,106,Africa,"8,245","+/-2,149",5.1,+/-1.3
DP02,04000US01,Alabama,1,107,Oceania,"1,018",+/-596,0.6,+/-0.4
DP02,04000US01,Alabama,1,108,Latin America,"77,139","+/-4,250",47.5,+/-2.0
DP02,04000US01,Alabama,1,109,Northern America,"2,828","+/-1,082",1.7,+/-0.7
DP02,04000US01,Alabama,,109.3,,,,,
DP02,04000US01,Alabama,,109.5,LANGUAGE SPOKEN AT HOME,,,,
DP02,04000US01,Alabama,1,110,Population 5 years and over,"4,599,282","+/-4,712","4,599,282",(X)
DP02,04000US01,Alabama,1,111,English only,"4,355,425","+/-9,620",94.7,+/-0.2
DP02,04000US01,Alabama,1,112,Language other than English,"243,857","+/-9,091",5.3,+/-0.2
DP02,04000US01,Alabama,1,113,"Speak English less than ""very well""","94,986","+/-6,276",2.1,+/-0.1
DP02,04000US01,Alabama,1,114,Spanish,"150,932","+/-7,162",3.3,+/-0.2
DP02,04000US01,Alabama,1,115,"Speak English less than ""very well""","62,193","+/-4,773",1.4,+/-0.1
DP02,04000US01,Alabama,1,116,Other Indo-European languages,"44,373","+/-4,512",1.0,+/-0.1
DP02,04000US01,Alabama,1,117,"Speak English less than ""very well""","9,978","+/-2,423",0.2,+/-0.1
DP02,04000US01,Alabama,1,118,Asian and Pacific Islander languages,"37,662","+/-3,887",0.8,+/-0.1
DP02,04000US01,Alabama,1,119,"Speak English less than ""very well""","19,993","+/-2,634",0.4,+/-0.1
DP02,04000US01,Alabama,1,120,Other languages,"10,890","+/-3,575",0.2,+/-0.1
DP02,04000US01,Alabama,1,121,"Speak English less than ""very well""","2,822","+/-1,356",0.1,+/-0.1
DP02,04000US01,Alabama,,121.3,,,,,
DP02,04000US01,Alabama,,121.5,ANCESTRY,,,,
DP02,04000US01,Alabama,1,122,Total population,"4,887,871",*****,"4,887,871",(X)
DP02,04000US01,Alabama,1,123,American,"854,162","+/-24,981",17.5,+/-0.5
DP02,04000US01,Alabama,1,124,Arab,"12,309","+/-4,177",0.3,+/-0.1
DP02,04000US01,Alabama,1,125,Czech,"3,883","+/-1,396",0.1,+/-0.1
DP02,04000US01,Alabama,1,126,Danish,"3,721","+/-1,054",0.1,+/-0.1
DP02,04000US01,Alabama,1,127,Dutch,"31,252","+/-4,581",0.6,+/-0.1
DP02,04000US01,Alabama,1,128,English,"327,151","+/-13,303",6.7,+/-0.3
DP02,04000US01,Alabama,1,129,French (except Basque),"66,905","+/-5,753",1.4,+/-0.1
DP02,04000US01,Alabama,1,130,French Canadian,"8,649","+/-2,172",0.2,+/-0.1
DP02,04000US01,Alabama,1,131,German,"282,364","+/-12,512",5.8,+/-0.3
DP02,04000US01,Alabama,1,132,Greek,"8,177","+/-1,409",0.2,+/-0.1
DP02,04000US01,Alabama,1,133,Hungarian,"8,097","+/-3,760",0.2,+/-0.1
DP02,04000US01,Alabama,1,134,Irish,"376,093","+/-16,050",7.7,+/-0.3
DP02,04000US01,Alabama,1,135,Italian,"72,728","+/-6,405",1.5,+/-0.1
DP02,04000US01,Alabama,1,136,Lithuanian,"1,635",+/-742,0.0,+/-0.1
DP02,04000US01,Alabama,1,137,Norwegian,"20,536","+/-3,853",0.4,+/-0.1
DP02,04000US01,Alabama,1,138,Polish,"27,863","+/-4,315",0.6,+/-0.1
DP02,04000US01,Alabama,1,139,Portuguese,"6,877","+/-3,040",0.1,+/-0.1
DP02,04000US01,Alabama,1,140,Russian,"6,944","+/-1,649",0.1,+/-0.1
DP02,04000US01,Alabama,1,141,Scotch-Irish,"71,917","+/-6,169",1.5,+/-0.1
DP02,04000US01,Alabama,1,142,Scottish,"91,447","+/-8,485",1.9,+/-0.2
DP02,04000US01,Alabama,1,143,Slovak,"1,733",+/-760,0.0,+/-0.1
DP02,04000US01,Alabama,1,144,Subsaharan African,"51,261","+/-8,729",1.0,+/-0.2
DP02,04000US01,Alabama,1,145,Swedish,"10,848","+/-2,007",0.2,+/-0.1
DP02,04000US01,Alabama,1,146,Swiss,"3,636","+/-1,036",0.1,+/-0.1
DP02,04000US01,Alabama,1,147,Ukrainian,"3,581","+/-1,442",0.1,+/-0.1
DP02,04000US01,Alabama,1,148,Welsh,"18,152","+/-2,644",0.4,+/-0.1
DP02,04000US01,Alabama,1,149,West Indian (excluding Hispanic origin groups),"11,948","+/-3,343",0.2,+/-0.1
DP02,04000US01,Alabama,,149.3,,,,,
DP02,04000US01,Alabama,,149.5,COMPUTERS AND INTERNET USE,,,,
DP02,04000US01,Alabama,1,150,Total households,"1,855,184","+/-11,821","1,855,184",(X)
DP02,04000US01,Alabama,1,151,With a computer,"1,617,364","+/-12,859",87.2,+/-0.4
DP02,04000US01,Alabama,1,152,With a broadband Internet subscription,"1,471,696","+/-14,773",79.3,+/-0.5
DP02,04000US02,Alaska,,0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,04000US02,Alaska,,0.5,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,04000US02,Alaska,,0.8,HOUSEHOLDS BY TYPE,,,,
DP02,04000US02,Alaska,1,1,Total households,"254,551","+/-3,266","254,551",(X)
DP02,04000US02,Alaska,1,2,Family households (families),"167,527","+/-4,191",65.8,+/-1.4
DP02,04000US02,Alaska,1,3,With own children of the householder under 18 years,"76,718","+/-3,398",30.1,+/-1.3
DP02,04000US02,Alaska,1,4,Married-couple family,"127,824","+/-3,685",50.2,+/-1.3
DP02,04000US02,Alaska,1,5,With own children of the householder under 18 years,"55,431","+/-3,081",21.8,+/-1.2
DP02,04000US02,Alaska,1,6,"Male householder, no wife present, family","15,613","+/-1,896",6.1,+/-0.8
DP02,04000US02,Alaska,1,7,With own children of the householder under 18 years,"7,511","+/-1,338",3.0,+/-0.5
DP02,04000US02,Alaska,1,8,"Female householder, no husband present, family","24,090","+/-2,047",9.5,+/-0.8
DP02,04000US02,Alaska,1,9,With own children of the householder under 18 years,"13,776","+/-1,791",5.4,+/-0.7
DP02,04000US02,Alaska,1,10,Nonfamily households,"87,024","+/-3,673",34.2,+/-1.4
DP02,04000US02,Alaska,1,11,Householder living alone,"66,253","+/-3,566",26.0,+/-1.3
DP02,04000US02,Alaska,1,12,65 years and over,"20,618","+/-2,066",8.1,+/-0.8
DP02,04000US02,Alaska,,12.3,,,,,
DP02,04000US02,Alaska,1,13,Households with one or more people under 18 years,"87,148","+/-3,760",34.2,+/-1.3
DP02,04000US02,Alaska,1,14,Households with one or more people 65 years and over,"62,793","+/-1,857",24.7,+/-0.7
DP02,04000US02,Alaska,,14.3,,,,,
DP02,04000US02,Alaska,1,15,Average household size,2.79,+/-0.04,(X),(X)
DP02,04000US02,Alaska,1,16,Average family size,3.39,+/-0.06,(X),(X)
DP02,04000US02,Alaska,,16.3,,,,,
DP02,04000US02,Alaska,,16.5,RELATIONSHIP,,,,
DP02,04000US02,Alaska,1,17,Population in households,"710,666",*****,"710,666",(X)
DP02,04000US02,Alaska,1,18,Householder,"254,551","+/-3,266",35.8,+/-0.5
DP02,04000US02,Alaska,1,19,Spouse,"127,491","+/-3,584",17.9,+/-0.5
DP02,04000US02,Alaska,1,20,Child,"222,873","+/-4,303",31.4,+/-0.6
DP02,04000US02,Alaska,1,21,Other relatives,"50,315","+/-3,365",7.1,+/-0.5
DP02,04000US02,Alaska,1,22,Nonrelatives,"55,436","+/-4,096",7.8,+/-0.6
DP02,04000US02,Alaska,1,23,Unmarried partner,"21,114","+/-1,878",3.0,+/-0.3
DP02,04000US02,Alaska,,23.3,,,,,
DP02,04000US02,Alaska,,23.5,MARITAL STATUS,,,,
DP02,04000US02,Alaska,1,24,Males 15 years and over,"304,543","+/-1,457","304,543",(X)
DP02,04000US02,Alaska,1,25,Never married,"113,521","+/-3,346",37.3,+/-1.1
DP02,04000US02,Alaska,1,26,"Now married, except separated","149,864","+/-4,543",49.2,+/-1.5
DP02,04000US02,Alaska,1,27,Separated,"5,019","+/-1,202",1.6,+/-0.4
DP02,04000US02,Alaska,1,28,Widowed,"6,086","+/-1,054",2.0,+/-0.3
DP02,04000US02,Alaska,1,29,Divorced,"30,053","+/-2,851",9.9,+/-0.9
DP02,04000US02,Alaska,,29.3,,,,,
DP02,04000US02,Alaska,1,30,Females 15 years and over,"278,431","+/-1,348","278,431",(X)
DP02,04000US02,Alaska,1,31,Never married,"82,104","+/-2,593",29.5,+/-0.9
DP02,04000US02,Alaska,1,32,"Now married, except separated","140,165","+/-3,627",50.3,+/-1.3
DP02,04000US02,Alaska,1,33,Separated,"3,922",+/-773,1.4,+/-0.3
DP02,04000US02,Alaska,1,34,Widowed,"16,373","+/-1,676",5.9,+/-0.6
DP02,04000US02,Alaska,1,35,Divorced,"35,867","+/-2,931",12.9,+/-1.0
DP02,04000US02,Alaska,,35.3,,,,,
DP02,04000US02,Alaska,,35.5,FERTILITY,,,,
DP02,04000US02,Alaska,1,36,Number of women 15 to 50 years old who had a birth in the past 12 months,"10,747","+/-1,579","10,747",(X)
DP02,04000US02,Alaska,1,37,"Unmarried women (widowed, divorced, and never married)","4,049","+/-1,012",37.7,+/-7.9
DP02,04000US02,Alaska,1,38,"Per 1,000 unmarried women",45,+/-12,(X),(X)
DP02,04000US02,Alaska,1,39,"Per 1,000 women 15 to 50 years old",62,+/-9,(X),(X)
DP02,04000US02,Alaska,1,40,"Per 1,000 women 15 to 19 years old",25,+/-16,(X),(X)
DP02,04000US02,Alaska,1,41,"Per 1,000 women 20 to 34 years old",96,+/-15,(X),(X)
DP02,04000US02,Alaska,1,42,"Per 1,000 women 35 to 50 years old",39,+/-13,(X),(X)
DP02,04000US02,Alaska,,42.3,,,,,
DP02,04000US02,Alaska,,42.5,GRANDPARENTS,,,,
DP02,04000US02,Alaska,1,43,Number of grandparents living with own grandchildren under 18 years,"19,049","+/-2,722","19,049",(X)
DP02,04000US02,Alaska,1,44,Grandparents responsible for grandchildren,"8,182","+/-1,736",43.0,+/-6.6
DP02,04000US02,Alaska,,44.9,Years responsible for grandchildren,,,,
DP02,04000US02,Alaska,1,45,Less than 1 year,"1,205",+/-629,6.3,+/-3.2
DP02,04000US02,Alaska,1,46,1 or 2 years,"2,049",+/-836,10.8,+/-4.2
DP02,04000US02,Alaska,1,47,3 or 4 years,"1,030",+/-356,5.4,+/-1.8
DP02,04000US02,Alaska,1,48,5 or more years,"3,898","+/-1,294",20.5,+/-5.9
DP02,04000US02,Alaska,,48.3,,,,,
DP02,04000US02,Alaska,1,49,Number of grandparents responsible for own grandchildren under 18 years,"8,182","+/-1,736","8,182",(X)
DP02,04000US02,Alaska,1,50,Who are female,"4,461",+/-892,54.5,+/-6.7
DP02,04000US02,Alaska,1,51,Who are married,"6,271","+/-1,659",76.6,+/-8.0
DP02,04000US02,Alaska,,51.3,,,,,
DP02,04000US02,Alaska,,51.5,SCHOOL ENROLLMENT,,,,
DP02,04000US02,Alaska,1,52,Population 3 years and over enrolled in school,"185,581","+/-4,169","185,581",(X)
DP02,04000US02,Alaska,1,53,"Nursery school, preschool","12,482","+/-1,671",6.7,+/-0.9
DP02,04000US02,Alaska,1,54,Kindergarten,"10,084","+/-1,451",5.4,+/-0.8
DP02,04000US02,Alaska,1,55,Elementary school (grades 1-8),"81,146","+/-1,799",43.7,+/-1.2
DP02,04000US02,Alaska,1,56,High school (grades 9-12),"38,329","+/-1,613",20.7,+/-0.9
DP02,04000US02,Alaska,1,57,College or graduate school,"43,540","+/-3,588",23.5,+/-1.5
DP02,04000US02,Alaska,,57.3,,,,,
DP02,04000US02,Alaska,,57.5,EDUCATIONAL ATTAINMENT,,,,
DP02,04000US02,Alaska,1,58,Population 25 years and over,"485,353","+/-1,509","485,353",(X)
DP02,04000US02,Alaska,1,59,Less than 9th grade,"12,023","+/-1,810",2.5,+/-0.4
DP02,04000US02,Alaska,1,60,"9th to 12th grade, no diploma","20,421","+/-2,083",4.2,+/-0.4
DP02,04000US02,Alaska,1,61,High school graduate (includes equivalency),"137,293","+/-4,735",28.3,+/-1.0
DP02,04000US02,Alaska,1,62,"Some college, no degree","129,250","+/-5,285",26.6,+/-1.1
DP02,04000US02,Alaska,1,63,Associate's degree,"39,938","+/-2,719",8.2,+/-0.6
DP02,04000US02,Alaska,1,64,Bachelor's degree,"89,635","+/-4,239",18.5,+/-0.9
DP02,04000US02,Alaska,1,65,Graduate or professional degree,"56,793","+/-3,615",11.7,+/-0.7
DP02,04000US02,Alaska,,65.3,,,,,
DP02,04000US02,Alaska,1,66,High school graduate or higher,"452,909","+/-3,240",93.3,+/-0.6
DP02,04000US02,Alaska,1,67,Bachelor's degree or higher,"146,428","+/-5,876",30.2,+/-1.2
DP02,04000US02,Alaska,,67.3,,,,,
DP02,04000US02,Alaska,,67.5,VETERAN STATUS,,,,
DP02,04000US02,Alaska,1,68,Civilian population 18 years and over,"536,272","+/-1,519","536,272",(X)
DP02,04000US02,Alaska,1,69,Civilian veterans,"67,635","+/-3,940",12.6,+/-0.7
DP02,04000US02,Alaska,,69.3,,,,,
DP02,04000US02,Alaska,,69.5,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,
DP02,04000US02,Alaska,1,70,Total Civilian Noninstitutionalized Population,"713,033","+/-1,423","713,033",(X)
DP02,04000US02,Alaska,1,71,With a disability,"89,491","+/-4,919",12.6,+/-0.7
DP02,04000US02,Alaska,,71.3,,,,,
DP02,04000US02,Alaska,1,72,Under 18 years,"183,040",+/-475,"183,040",(X)
DP02,04000US02,Alaska,1,73,With a disability,"5,730","+/-1,165",3.1,+/-0.6
DP02,04000US02,Alaska,,73.3,,,,,
DP02,04000US02,Alaska,1,74,18 to 64 years,"443,595","+/-1,923","443,595",(X)
DP02,04000US02,Alaska,1,75,With a disability,"51,416","+/-3,366",11.6,+/-0.7
DP02,04000US02,Alaska,,75.3,,,,,
DP02,04000US02,Alaska,1,76,65 years and over,"86,398","+/-1,518","86,398",(X)
DP02,04000US02,Alaska,1,77,With a disability,"32,345","+/-2,275",37.4,+/-2.8
DP02,04000US02,Alaska,,77.3,,,,,
DP02,04000US02,Alaska,,77.5,RESIDENCE 1 YEAR AGO,,,,
DP02,04000US02,Alaska,1,78,Population 1 year and over,"727,164","+/-1,214","727,164",(X)
DP02,04000US02,Alaska,1,79,Same house,"608,707","+/-7,474",83.7,+/-1.0
DP02,04000US02,Alaska,1,80,Different house in the U.S.,"113,328","+/-7,456",15.6,+/-1.0
DP02,04000US02,Alaska,1,81,Same county,"64,118","+/-5,634",8.8,+/-0.8
DP02,04000US02,Alaska,1,82,Different county,"49,210","+/-5,372",6.8,+/-0.7
